mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09560122489929199,0.011252253089932149,0.011598157882690429,0.0010197140319261103,20,{'n_estimators': 20},0.5851392798619254,0.6275592404064754,0.6973867277801769,0.7523285110636685,0.6730502893700578,0.6670928096964609,0.05744148671061744,10
0.17850685119628906,0.011249676519799029,0.01902909278869629,0.0014148571462258227,40,{'n_estimators': 40},0.6468161841880131,0.6782114298131026,0.6942366347442441,0.7637793294751005,0.6849159982190607,0.6935919152879043,0.03853956061975222,1
0.30676584243774413,0.025359806809070295,0.030800342559814453,0.0036550224326925944,60,{'n_estimators': 60},0.6080081920286537,0.6776170614720822,0.676159409397921,0.730862939970993,0.653957924769231,0.6693211055277762,0.03974489490804378,9
0.34796781539916993,0.015672852610985694,0.03319544792175293,0.0033647557294495885,80,{'n_estimators': 80},0.6144010820315144,0.6859573835983928,0.6800980145542632,0.7337213803671554,0.6685922572144167,0.6765540235531484,0.038198082675654506,8
0.46001086235046384,0.03194965161540343,0.04382047653198242,0.0033142199749922425,100,{'n_estimators': 100},0.6102279045235998,0.6984045916458475,0.6985907040674397,0.7365555693993919,0.6772403257232871,0.6842038190719132,0.04164198923393913,5
0.5497849941253662,0.022795787053337582,0.049799442291259766,0.0031882440493272097,120,{'n_estimators': 120},0.6304502342074256,0.7011798329169763,0.6916185999560347,0.74272976647086,0.6748560418612226,0.6881668950825038,0.03651506403611356,3
0.6159635543823242,0.03181604533013436,0.059202051162719725,0.005912281847101195,140,{'n_estimators': 140},0.6232734883304436,0.6910090563104203,0.6740615757217892,0.7209424941815319,0.6750887397017844,0.6768750708491938,0.03170471172076535,7
0.7678492069244385,0.14080163184487787,0.0649998664855957,0.00766850560535917,160,{'n_estimators': 160},0.6331985920018535,0.6918001933940408,0.6922870568588437,0.743016403675423,0.6806489324859747,0.6881902356832271,0.03497621066902296,2
0.7851390838623047,0.05725927794879862,0.07039856910705566,0.005275647743509511,180,{'n_estimators': 180},0.6270945179238275,0.6906070682557617,0.6946182514831338,0.7344847185503449,0.6806029389431256,0.6854814990312386,0.03447870977821189,4
0.8275862216949463,0.03877547309185232,0.07339787483215332,0.0018540469003560094,200,{'n_estimators': 200},0.6279321507338378,0.6937726778322246,0.6825661032667161,0.735157961627007,0.6749295199370525,0.6828716826793676,0.03445057375345065,6
